interaction_type,demixing
C-C,0.0707
C-C,0.321563
C-C,0.530281
C-C,0.113066
C-C,0.252569
C-C,0.102263
C-C,0.016165
C-C,0.119198
C-C,0.042684
C-P,0.144031
C-C,0.111869
C-C,0.267222
C-C,0.012001
C-C,0.609553
C-C,0.045141
C-C,0.064147
C-C,0.018591
C-C,0.390794
C-C,0.020566
C-C,0.226234
C-C,0.331247
C-P,0.036706
C-P,0.335426
C-P,0.155629
C-C,0.271608
C-C,0.855927
C-C,0.154845
C-C,0.509974
C-C,0.440009
C-C,0.301767
C-C,0.0295
C-C,0.199121
C-C,0.034189
C-H,0.857108
C-H,0.907293
C-H,0.287441
C-C,0.460229
C-C,0.010967
C-C,0.209847
C-C,0.021444
C-C,0.007894
C-C,0.010855
C-C,0.020143
C-P,0.009406
C-P,0.495725
C-C,0.057444
C-C,0.254907
C-C,0.119134
C-C,0.942126
C-C,0.097884
C-C,0.052856
C-C,0.120632
C-C,0.51708
C-C,0.142346
C-C,0.48581
C-C,0.014831
C-C,0.270642
C-C,0.010048
C-C,0.027882
C-C,0.112132
C-C,0.041575
C-P,0.312593
C-C,0.316772
C-C,0.651979
C-C,0.0663
C-C,0.159094
C-C,0.039218
C-C,0.227496
C-C,0.178805
C-C,0.00917
C-C,0.01693
C-C,0.011113
C-P,0.14393
C-P,0.682773
C-C,0.05173
C-C,0.105334
C-C,0.04693
C-C,0.116361
C-H,0.179159
C-H,0.689148
C-H,0.168771
C-C,0.024564
C-C,0.002871
C-C,0.010947
C-C,0.022319
C-C,0.294497
C-C,0.272386
C-H,0.006874
C-H,0.079831
C-C,0.176224
C-C,0.01191
C-C,0.024566
C-C,0.046447
C-P,0.27323
C-C,0.044044
C-C,0.178844
C-C,0.029138
C-P,0.054819
C-P,0.105988
C-C,0.007834
C-C,0.106683
C-C,0.1351
C-C,0.084397
C-C,0.353646
C-C,0.194451
C-C,0.070099
C-C,0.325522
C-C,0.130801
C-P,0.107424
C-C,0.01034
C-C,0.015884
C-C,0.003451
C-C,0.088441
C-C,0.393032
C-C,0.035418
C-P,0.006133
C-P,0.122404
C-P,0.11456
C-P,0.040882
C-P,0.003657
